ZooplaListingId,House Address,Sales Agent Name,Asking Price,Area (sq ft or sq m)
69194155,"Gloucester Place, Marylebone, London NW1",Sandfords - Regent's Park,"£475,000",352 sq. ft
67634983,"Gloucester Place, Marylebone NW1",Romans & Partners,"£749,000",N/A
66097854,"Gloucester Place, London NW1",John D Wood & Co. - Docklands & City,"£749,000",N/A
70090562,"Centric Close, Camden, London NW1",Savills - Primrose Hill,"£850,000",896 sq ft
70004803,"Centric Close, London NW1",Portico - Highbury,"£645,000",N/A
69965488,"Centric Close, Camden Town, London NW1",Foxtons - Camden,"£1,100,000",894 sq. ft
69058668,"Centric Close, London NW1",Strutt & Parker - Hampstead,"£1,185,000",983sqft
67311256,"Centric Close, Camden Town NW1",Dexters - Kentish Town & Camden,"£685,000",893 sq.ft
69664018,"Camden High Street, Camden, London NW1",Goldschmidt & Howland - Camden,"£990,000",456sqft
69054197,"Camden High Street, London NW1",Hue Homes,"£1,200,000",N/A
68716515,"Camden High Street, London NW1",John D Wood & Co. - Primrose Hill Sales,"£750,000",N/A
67383470,"Arlington Road, Camden Town, London NW1",Foxtons - Camden,"£550,000",666 sq. ft
67683895,"Eglon Mews, Primrose Hill, London NW1",House Collective,"£3,650,000",N/A
56610611,"Camden Mews, Camden, London NW1",Goldschmidt & Howland - Camden,"£2,250,000",N/A
69376171,"Camden Mews, Camden Town, London NW1",Savills - Primrose Hill,"£2,250,000","2,307 sq ft"
69255718,"Camden Mews, Camden, London NW1",Foxtons - Camden,"£2,250,000",N/A
69220255,"Camden Mews, Camden NW1",Chestertons - Camden & Primrose Hill,"£2,250,000",N/A
69588516,"Camden Road, London NW1",LiFE Residential - North & City,"£525,000",N/A
69505486,"St. Pauls Crescent, Camden NW1",Chestertons - Camden & Primrose Hill,"£1,300,000",N/A
